id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
gd-1009533313111,glassdoor,https://www.glassdoor.ca/job-listing/j?jl=1009533313111,,Laboratory Technologist I,Alberta Precision Labs,Edmonton,11/19/2024,,direct_data,hourly,35,35,CAD,FALSE,,,organic,,"### **Your Opportunity:**


As a Medical Laboratory Technologist I \\- Specialized Diagnostics (MLT I) you will have the opportunity to perform a variety of routine and specialized microbiological tests and procedures consistent with technical knowledge/skills required for the department, in order to deliver accurate, timely results to clients. This position reports to a Manager, Clinical Supervisor, a Technologist II, or a Program Leader in a designated area. Responsibilities: Perform a variety of routine and specialized microbiological tests and procedures in one or more distinct laboratory areas including but not limited to PCR, rt\\-PCR, Nucleic Acid Extraction, sample processing, Whole Genome Sequencing (WGS), data analysis and instrument troubleshooting. Maintain competency and participate in competency assessment programs consistent with the APL and ProvLab Quality Manuals. Under the direction of a supervisor, participate in the evaluation of new methodologies and equipment. Provide guidance to laboratory assistants and support staff. Required to result and validate specified patient reports via the laboratory information system, recognizing anomalies and discrepancies, and acting appropriately. Assist and/or contribute to maintenance of the laboratory manual and in the preparation of laboratory accreditation. Provide training to new staff as required. Perform other laboratory duties as required. Promote teamwork within the department and always demonstrates APL values.

### **Description:**

As a Medical Laboratory Technologist (MLT) I, you will be responsible for the daily processing, testing, results analysis and reporting of diagnostic samples within the laboratory department. You will perform a variety of routine and specialized procedures in the processing of specimens used in diagnosis, treatment and research.


* Classification: Laboratory Technologist I
* Union: HSAA FAC PROF/TECH
* Unit and Program: Specialized Diagnostics
* Primary Location: U of A Hospital
* Location Details: As Per Location
* Multi\\-Site: Not Applicable
* FTE: 0\\.70
* Posting End Date: 26\\-NOV\\-2024
* Temporary Employee Class: Temp P/T Benefits
* Date Available: 16\\-DEC\\-2024
* Temporary End Date: 25\\-JAN\\-2026
* Hours per Shift: 7\\.75
* Length of Shift in weeks: 2
* Shifts per cycle: 7
* Shift Pattern: Days, Evenings, Nights, Weekends
* Days Off: Other
* Minimum Salary: $35\\.45
* Maximum Salary: $46\\.69
* Vehicle Requirement: Not Applicable

**Required Qualifications:**Completion of an accredited Medical Laboratory Technology (MLT) program. Active or eligible for registration and practice permit with the College of Medical Laboratory Technologists of Alberta (CMLTA).

**Additional Required Qualifications:**BSc in Medical Laboratory Science or Graduate of a recognized school of Medical Laboratory Technology required. Technical knowledge of appropriate methodology and testing techniques applied in a large Microbiology Laboratory required. Proven interpersonal skills for dealing with people in a team.

**Preferred Qualifications:**One to two years of current clinical experience in a Molecular Microbiology Laboratory preferred. Understanding of Molecular methodology including but not limited to PCR, rt\\-PCR, Nucleic Acid Extractions, and molecular workflow preferred. Demonstrated understanding of the philosophy of quality systems improvement preferred. Experience with the EPIC Beaker Information System.


  
#### **Please note:**


*All postings close at 23:59 MT of the posting end date indicated.*



#### **Security Screening:**


*A satisfactory criminal record check and/or Vulnerable Sector Search is required prior to your first day of work. Additionally, all employees have an ongoing duty to disclose any charges or convictions* *that may occur during their employment with APL.*",,https://www.glassdoor.ca/Overview/W-EI_IE488430.htm,https://media.glassdoor.com/sql/488430/calgary-laboratory-services-squarelogo-1583398590803.png,,,,,
in-cc6fc58c83f220aa,indeed,https://ca.indeed.com/viewjob?jk=cc6fc58c83f220aa,https://albertahs.referrals.selectminds.com/apl/jobs/laboratory-technologist-i-483749,Laboratory Technologist I,Alberta Precision Labs,"Edmonton, AB, CA",11/19/2024,temporary,,,,,,FALSE,,,,,"### **Your Opportunity:**


As a Medical Laboratory Technologist I \\- Specialized Diagnostics (MLT I) you will have the opportunity to perform a variety of routine and specialized microbiological tests and procedures consistent with technical knowledge/skills required for the department, in order to deliver accurate, timely results to clients. This position reports to a Manager, Clinical Supervisor, a Technologist II, or a Program Leader in a designated area. Responsibilities: Perform a variety of routine and specialized microbiological tests and procedures in one or more distinct laboratory areas including but not limited to PCR, rt\\-PCR, Nucleic Acid Extraction, sample processing, Whole Genome Sequencing (WGS), data analysis and instrument troubleshooting. Maintain competency and participate in competency assessment programs consistent with the APL and ProvLab Quality Manuals. Under the direction of a supervisor, participate in the evaluation of new methodologies and equipment. Provide guidance to laboratory assistants and support staff. Required to result and validate specified patient reports via the laboratory information system, recognizing anomalies and discrepancies, and acting appropriately. Assist and/or contribute to maintenance of the laboratory manual and in the preparation of laboratory accreditation. Provide training to new staff as required. Perform other laboratory duties as required. Promote teamwork within the department and always demonstrates APL values.

### **Description:**

As a Medical Laboratory Technologist (MLT) I, you will be responsible for the daily processing, testing, results analysis and reporting of diagnostic samples within the laboratory department. You will perform a variety of routine and specialized procedures in the processing of specimens used in diagnosis, treatment and research.


* Classification: Laboratory Technologist I
* Union: HSAA FAC PROF/TECH
* Unit and Program: Specialized Diagnostics
* Primary Location: U of A Hospital
* Location Details: As Per Location
* Multi\\-Site: Not Applicable
* FTE: 0\\.70
* Posting End Date: 26\\-NOV\\-2024
* Temporary Employee Class: Temp P/T Benefits
* Date Available: 16\\-DEC\\-2024
* Temporary End Date: 25\\-JAN\\-2026
* Hours per Shift: 7\\.75
* Length of Shift in weeks: 2
* Shifts per cycle: 7
* Shift Pattern: Days, Evenings, Nights, Weekends
* Days Off: Other
* Minimum Salary: $35\\.45
* Maximum Salary: $46\\.69
* Vehicle Requirement: Not Applicable

**Required Qualifications:**Completion of an accredited Medical Laboratory Technology (MLT) program. Active or eligible for registration and practice permit with the College of Medical Laboratory Technologists of Alberta (CMLTA).

**Additional Required Qualifications:**BSc in Medical Laboratory Science or Graduate of a recognized school of Medical Laboratory Technology required. Technical knowledge of appropriate methodology and testing techniques applied in a large Microbiology Laboratory required. Proven interpersonal skills for dealing with people in a team.

**Preferred Qualifications:**One to two years of current clinical experience in a Molecular Microbiology Laboratory preferred. Understanding of Molecular methodology including but not limited to PCR, rt\\-PCR, Nucleic Acid Extractions, and molecular workflow preferred. Demonstrated understanding of the philosophy of quality systems improvement preferred. Experience with the EPIC Beaker Information System.


  
#### **Please note:**


*All postings close at 23:59 MT of the posting end date indicated.*



#### **Security Screening:**


*A satisfactory criminal record check and/or Vulnerable Sector Search is required prior to your first day of work. Additionally, all employees have an ongoing duty to disclose any charges or convictions* *that may occur during their employment with APL.*",,https://ca.indeed.com/cmp/Alberta-Precision-Labs,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/48f73edff4edb9b911a2f0a78c6053ef,https://www.albertaprecisionlabs.ca/,,"5,001 to 10,000",,"At Alberta Precision Laboratories (APL), we believe in the transformative power of laboratory medicine to improve health for all Albertans. APL is a wholly-owned subsidiary of Alberta Health Services."
zr-gYNloydf3sZqeoPjZhnJ0A,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=gYNloydf3sZqeoPjZhnJ0A,,Revenue Operations Analyst- New Grad Opportunity,Versaterm,"Nepean, ON, Canada",11/21/2024,fulltime,,,,,,,,,organic,info@versaterm.com,"Salary:   
**Who We Are**  
For more than 40 years, Versaterm Public Safety has defined the future of public safety software, delivering success to agencies, large and small, with an end\\-to\\-end ecosystem of solutions from community engagement to case closure. Versaterm's dedication to public safety is demonstrated by an unwavering commitment to customer satisfaction, development of innovative software solutions powered by advanced technologies, and a team dedicated to making a difference in the lives of those sworn to serve.  
  
This is an exciting time for us! We're currently experiencing significant growth, with increased sales and installations of our public safety products. So join us as we continue to be innovative, focusing on creative, seamless solutions that allow our customers to focus on the communities they serve.  
  
Versaterm is currently seeking highly motivated new grad or winter 2025 co\\-op student to join our exciting 6\\-month New Grad Intern Program . Our program aims to create a meaningful early career experience in which you will be exposed to a diverse working environment. You will get the opportunity to go beyond the classroom and bring your knowledge to real life working scenarios across teams.

  


**Overview:**

As a Revenue Operations Analyst Intern, you will work closely with the Revenue Operations and Sales teams to support strategic projects aimed at optimizing revenue generation, streamlining processes, and ensuring data\\-driven decision\\-making. This role provides a unique opportunity to gain hands\\-on experience in revenue operations, data analysis, and sales optimization.

**Responsibilities:** 

* Data Analysis \\& Reporting: Assist in collecting, analyzing, and interpreting sales and revenue data. Generate regular reports to provide insights on key performance indicators (KPIs), trends, and areas for improvement.
* CRM Management: Help maintain and update the Customer Relationship Management (CRM) system, ensuring data accuracy and supporting the sales team with necessary CRM insights.
* Revenue Optimization: Collaborate with cross\\-functional teams (sales, marketing, finance) to identify opportunities for revenue growth and process improvements.
* Forecasting \\& Budgeting: Assist in the creation and maintenance of revenue forecasts and budgets. Provide variance analysis to support strategic planning.
* Process Improvement: Help identify inefficiencies in current revenue processes and suggest ways to improve workflow and automation.
* Market Research: Conduct research to identify new business opportunities, market trends, and competitive positioning that can influence revenue strategies.
* Support Sales Operations: Aid in the execution of sales operations, including pipeline management, deal tracking, and sales performance analysis.

**Requirements:** 

* Currently enrolled or recently completed a university/college program, preferably in Business, Finance, Economics, Data Analytics, or a related field.
* Strong analytical skills with a data\\-driven mindset.
* Familiarity with Salesforce CRM platform and data visualization tools (e.g., Tableau, CRM Analytics) is a plus.
* Proficiency in Microsoft Excel (pivot tables, VLOOKUP, etc.).
* Strong communication and organizational skills.
* Ability to work in a fast\\-paced environment and manage multiple tasks.

**Additional Preferred Skills:**

* Adaptable: ability to work effectively in different situations and/or with different people
* Excellent written / verbal communication skills; strong interpersonal skills
* Ability to work collaboratively in a team environment

**Learning Opportunities:**

* Exposure to real\\-world revenue operations strategies and practices.
* Hands\\-on experience with industry\\-leading tools like Salesforce, Tableau, and advanced Excel functions.
* Mentorship from experienced professionals in the RevOps and Sales.
* Opportunity to develop strong data analysis and problem\\-solving skills.

  


**Equal Opportunity** 

Versaterm Public Safety is committed to building and supporting inclusion, diversity, equity and sustaining a barrier free environment. Accommodations are available, on request, throughout all aspects of the selection process. These principles apply to the terms and conditions of employment at Versaterm. For detailed information on our accessibility policies, plans and training programs please contact info@versaterm.com.",,,,,,,,
zr-m-x-IZrTl3QADKXJE10TCg,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=m-x-IZrTl3QADKXJE10TCg,,"Assistant to the Director, Indigenous Education (24:154)",Northern Lights College,"Fort Saint John, BC, Canada",11/21/2024,,direct_data,hourly,26,27,USD,,,,organic,,"**Term of App't:** Monday \\- Friday, 35 hrs/week, until Sept 30, 2025

**Start date:** Immediately

**Reporting to:** Director of Indigenous Education

  
**Salary:**

Classification 8, $26\\.74 \\- $27\\.57 per hour, as per BCGEU Support Collective Agreement. Temporary employees also receive an additional $0\\.58/hr. in lieu of benefits, as well as having 6% vacation pay paid out with each pay. There is a period of campus closure during the Christmas break (Dec 25 \\- Jan 1\\) which is unpaid time off.

**Description:**

The Assistant to the Director will assist their fellow team members and collaborate on projects, liaise with external vendors and agencies; prepare, update, and distribute informational materials and other publications to students and agents; make travel and accommodation arrangements, and manage financial responsibilities such as completing the monthly reconciliations \\& reports.

In addition to these administrative responsibilities, you will help to ensure that the First Nations, Metis, and Inuit Gathering Place environments are welcoming and conducive to use of the space by our Indigenous students and others.

**Qualifications:**

Do you have strong attention to detail while maintaining a high level of accuracy? Perfect. You will need this skill in your new role with us as a member of this dynamic team. You'll also need to be able to demonstrate clear and effective communication, active listening, and maintain cooperative and productive working relationships. These are critical attributes of this position.

We'd prefer if you currently hold an Office Administration certificate along with two years of relevant experience; however, we will consider an equivalent combination of education and experiences. Previous experience working with Indigenous communities will be considered an asset for this role.

You must have an intermediate knowledge of the Microsoft Office suite and may be required to complete a clerical test to validate this.

Due to the expectation of travel within the region, you must hold a current and valid driver's license (Class 5 or 7\\).

*To support employment equity and diversity in the workplace, we encourage all qualified applicants, including Indigenous Peoples, persons with disabilities, visible minorities, women, persons of diverse sexual orientation, gender identity or expression (LGBTQ2S\\+), and others who may contribute to diversity at Northern Lights College.*

*In the spirit of reconciliation, we are committed to increasing Indigenous Peoples' representation throughout the institution and encourage applicants to self\\-identify as Indigenous\\-\\-First Nation, Metis, or Inuit within cover letters and/or resume.*",,,,,,,,
zr-BjzPLOnetuXqyrFV4HZgPQ,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=BjzPLOnetuXqyrFV4HZgPQ,,Regulatory Consultant,Newfoundland and Labrador Council of Health Professionals (NLCHP),"Saint John's, NL, Canada",11/21/2024,,,,,,,,,,job_board,,"The NLCHP regulates Audiologists, Dental Hygienists, Medical **Laboratory** Technologists, Respiratory ... The NLCHP collaborates with each health profession **College** to regulate the multiple health ...",,,,,,,,
zr-BnLVGTmahXSgn4W0big8dg,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=BnLVGTmahXSgn4W0big8dg,,Medical Laboratory Technologist PT 2024-5593,Cambridge Memorial Hospital,"Cambridge, ON, Canada",11/21/2024,,,,,,,,,,organic,,Procurement of blood specimens **\\* Assist** in the training and orientation of staff/students \\* Monitor ... Current registration with the **College** of Medical **Laboratory** Technologists of Ontario (CMLTO ...,,,,,,,,
zr-xnWYjNFk1PUqsL4F-SCpNA,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=xnWYjNFk1PUqsL4F-SCpNA,,Engineering Team Lead  (Non-Destructive Testing),Powertech Labs,"Surrey, BC, Canada",11/21/2024,fulltime,direct_data,yearly,127910,161770,CAD,,,,organic,,"Powertech’s Non\\-Destructive Testing (NDT) \\& Inspections group provides advanced inspection techniques across various industries with expertise in power utilities. We have an experienced team of Engineers, Technicians, and certified NDT Specialists and we offer comprehensive field, Lab NDT and coating inspection services. Our Engineers provide technical advisory on welding procedures and life assessment of structures and pressure vessels.  
  
Under the direction of the Division Manager, the NDT \\& Inspections Team lead will provide technical, professional, and business development leadership to achieve department objectives. The incumbent will also advise the Business Development Director on opportunities for the expansion of clientele and growth areas for the field services business.   
  
• Team Leadership \\& Project Execution: Lead and support a team of engineers and NDE specialists in executing projects of varying complexities, including testing, consulting, field inspections, and laboratory work.   
  
• Technical Guidance \\& Mentorship: Actively mentor the NDT team on safe operating procedures and best industry practices. Encourage team members to investigate challenging technical issues, evaluate risks and develop solutions to problems.  
  
• Business Strategy \\& Objectives: Develop long\\-term business strategies and annual department\\-specific objectives, focusing on quality, health \\& safety, environmental standards, new services, capital investment, client engagement, and financial targets.  
  
• Work Prioritization \\& Resource Allocation: Review work in progress and assess for accuracy, required results, and compliance with quality assurance standards and procedures.  
  
• Client Engagement \\& Business Development: Drive client engagement and business development activities by seeking out opportunities in areas of expertise, contacting prospective clients, attending conferences and trade shows, preparing proposals, and conducting client follow\\-ups.   
  
• Performance Management \\& Staff Development: Set annual staff objectives, conduct performance assessments, address performance issues through performance management practices and support career progression by establishing personal development plans.  
  
• Team Building \\& Recruitment: Assist the Division Manager in building a resilient team through recruitment, development/training, and recommending staff promotions and employee movements.   
  
• Procedures \\& Compliance: Establish and maintain departmental procedures related to technical, quality, safety, and environmental standards. Engage in audit processes and documentation and work with team to promptly address corrective actions.   
  
• Cross\\-Discipline Collaboration: Facilitate information sharing with other team leads and seek opportunities for cross\\-discipline projects.  
  
• Project Methodology \\& Reporting: Participate in the design of project methodology, scoping, costing/budgeting, preparation of quotations/proposals, and providing technical reports.  
  
• Continuous Improvement: Enhance and develop methods, procedures, and technical standards to leverage new technology and improve department effectiveness and efficiency. Identify and raise operational risks to the senior leadership team.  
  
Qualifications  
• Bachelor’s or advanced degree in mechanical, materials or metallurgical engineering, or a related engineering discipline recognized by Canadian Universities.   
  
• Minimum of 15 years of progressive experience in engineering, team leadership, and business development to include :   
\\- Expert knowledge in various NDT methods (e.g., UT, RT, MT, PT, ET) and familiarity with coating inspection techniques. Understanding of welding procedures, structural integrity assessments, and pressure vessel inspections. Familiarity with various components and operations of electrical utility from generation to delivery and pro\\-active with industry advancements and new NDT technologies  
  
\\- Managing projects from inception to completion, including scoping, budgeting, and resource allocation.  
  
\\- Proven ability to develop client relationships, business opportunities, and drive growth. A strong and broad network of NDT industry contacts is considered an asset.  
  
\\- Strong communication skills (including good facilitation and public speaking skills) and the ability to deliver constructive feedback to employees and build team consensus to achieve common goals.   
  
\\- Demonstrated ability and passion in people management skills including conflict management, work leadership, technical direction, team building, and coaching skills.   
  
• Registration or ability to immediately register as a professional engineer with the Engineers and Geoscientists of BC (EGBC).   
• Must hold a valid class 5 BC driver’s license or equivalent.  
  
The successful applicant must demonstrate these assets :   
• Strong knowledge of hydroelectric generating stations equipment (turbines, penstocks, gates, and mechanical equipment), and operation and maintenance practices.  
• Experience with vehicle inspections and certifications including aerial trucks and mobile cranes.  
• Familiar with concepts of sales cycle, key account management, and customer relationship management (CRM) tools  
• Entrepreneurial mindset with proven track record in business development success   
• Experience working in a unionized environment  
  
Job Status: Full\\-Time Regular  
Affiliation: M\\&P  
Job Level: P4  
Job location : Surrey, B.C.   
  
Please be advised that this role has been assessed as safety sensitive and pre\\-qualification alcohol and drug testing will be required as a pre\\-condition to employment.   
  
A condition of employment for this job is that you maintain your Driver's License (Class 5\\) in good standing.   
For Powertech Lab positions, the flexible work model options are different due to their specific operational requirements and details will be discussed at the interview stage  
  
Powertech Labs is an equal opportunity employer. We include everyone. We welcome applications from anyone, including members of visible minorities, women, Indigenous peoples, persons with disabilities, persons of minority sexual orientations and gender identities, and others with the skills and knowledge to productively engage with diverse communities. We are also happy to provide reasonable accommodations throughout the selection process and while working at Powertech Labs.  
  
Maintaining customer\\-confidence and our reputation is key: To this end, all our campus and laboratories are accredited to ISO9001 (quality), ISO14001 (environment stewardship) and ISO45001 (safety) and IEC/ISO 17025 for over 100 standards. To complement the focus on accreditation, we encourage our experts to drive global standards and provide development opportunities for all staff to grow in their role and to advance in their careers.   
  
Working at Powertech is not a job but a career. If you want to be a part of a growing clean technology company that is impactful and working towards a common goal of accelerating the world towards a net zero carbon future, come and join our team.  
 Powered by JazzHR

tr578vm7JU",,,,,,,,
zr-hjZTMVtBnZ_0GBLmAI7vCA,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=hjZTMVtBnZ_0GBLmAI7vCA,,Environmental Technologist,City of Windsor,"Windsor, ON, Canada",11/21/2024,temporary,,,,,,,,,organic,,"**JOB POSTING \\#:** 2024\\-0491

**POSTING PERIOD:** Thursday, November 21, 2024 at 8:30 AM to Wednesday, November 27, 2024 at 4:30 PM

**DEPARTMENT:** Pollution Control

**JOB CODE:** 543159

**POSITIONS STATUS:** Temporary Full\\-Time

**GRADE/CLASS:** 0\\.15

**\\# OF POSITIONS:**1

**RATE OF PAY:** $32\\.95 \\- $38\\.74 per hour

**HOURS OF WORK:** 40\\.00  
  
**DUTIES:**  
Reporting to the Supervisor, Environmental Quality, this position collects and analyzes a variety of substances, including waste water, raw materials used in the sewage treatment process, soil, water, sediments, and sewage sludge; Records data; Informs supervisor if test data does not meet established guidelines; Deploys automatic samplers and portable pH meters to strategic sampling stations and collects, preserves and records the samples and conditions; Investigates operational problems, samples, tests, and evaluates processes and reports on same; Will be required to install and retrieve sampling equipment; Conducts industrial surveys; Performs flow measurements in sewers/drains; Responds to public inquiries regarding odour and toxic spills; Inspects and tests if necessary, hauled industrial liquid waste; performs basic maintenance and ensures cleanliness on laboratory equipment and instruments; Initiates requests to make expenditures in accordance with detailed written procedures; Maintains amiable relations with the public and fellow staff; Will be required to travel to various other facilities utilizing a City of Windsor issued vehicle. Will perform Occupational Health \\& Safety duties as outlined in the Corporation’s Health and Safety Program. Will perform other related duties as required.

**QUALIFICATIONS:**

* Must have a three (3\\) year post\\-secondary school Diploma from a Community College in Chemical Technology or a University Degree in Science – Chemistry or Environmental, or Ontario Ministry of Education equivalencies;
* Must have over one (1\\) year of work experience in a laboratory i.e. working with appropriate testing techniques such as volumetric, gravimetric and colorimetric analysis, and with inductively coupled plasma (ICP) spectrometry;
* Must obtain and maintain a standard First Aid and CPR Certificate;
* Must hold and maintain a current valid and lawful Class ‘G’ Driver’s Licence in accordance with the Highway Traffic Act, for the purposes of operating a City of Windsor vehicle and provide a driver’s abstract as a condition of employment;
* The physical demands analysis associated with this job indicates a light \\- heavy level of work;
* Must complete a post\\-offer agility test in an effort to assist the successful candidate in completing the position tasks safely and to aid in minimizing injuries on the job;
* Must be able to enter into and work within a sewer.

**NOTE:**

* **Only those applicants selected for an interview will be acknowledged.**
* We offer a smoke\\-free office environment.
* Personal information is collected under the authority of the Municipal Act, c. 25 as amended, and will be used to determine eligibility for employment.
* The Corporation of the City of Windsor is an Equal Opportunity Employer.

 **In accordance with the Accessibility for Ontarians Act, 2005 and the Ontario Human Rights Code, the City of Windsor will provide accommodations throughout the recruitment, selection and/or assessment process to applicants with disabilities. If selected to participate in the recruitment, selection and/or assessment process, please inform the City of Windsor Human Resources staff of the nature of any accommodation(s) that you may require in respect of any materials or processes used to ensure your equal participation.** 

Powered by JazzHR

KyO7fURXSp",,,,,,,,
zr-bCYXxBlW71MymfzbNAPdow,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=bCYXxBlW71MymfzbNAPdow,,"Structures, Materials, Concrete, and Fatigue Technologist",University of Waterloo,"Waterloo, ON, Canada",11/21/2024,,,,,,,,,,organic,,"Work with other technical staff and teaching **assistants** to ensure that all experiments in all ... **grad** student to another \\* Review technical literature, identify, and help select **laboratory** and ...",,,,,,,,
zr-UBy9fiIWR4aay9-CIcXclw,zip_recruiter,https://www.ziprecruiter.com/jobs//j?lvk=UBy9fiIWR4aay9-CIcXclw,,"Business Intelligence Analyst, New Grad - Par Time",Siemens Corp,"Oakville, ON, Canada",11/20/2024,,,,,,,,,,organic,,Experience@Siemens is an exciting opportunity for **new** Graduates from **college** or university to transition from academic to the workplace. Siemens Canada will provide you with practical and meaningful ...,,,,,,,,
